PLATEAU_3D-Spatial-ID_CSV,0100,20,0
gml_id,spatial_id
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934996/406122
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934986/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934993/406123
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934987/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934998/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934990/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934993/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934989/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934997/406125
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934991/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934994/406121
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934989/406125
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934996/406122
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934996/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934988/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934997/406125
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934992/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934984/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934996/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934981/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934994/406135
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934993/406135
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934992/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934993/406122
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934990/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934992/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934997/406121
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934983/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934997/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934991/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934996/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934990/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934997/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934997/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934986/406132
